yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	14:41:31.210	1.82	-0.945	0.21	0.00976	0.018788	1.026508	0.6405	-0.2235	0.0405	0	40	1034	1
2026-02-12	14:41:31.230	1.26	0.105	0.245	0.00854	0.0183	1.007232	0.642	-0.228	0.0525	0	40	1034	1
2026-02-12	14:41:31.250	1.4	-1.715	0.315	0.011956	0.011712	1.007232	0.6435	-0.264	0.045	0	40	1034	1
2026-02-12	14:41:31.270	1.54	-0.21	0.245	0.009272	0.017324	1.01992	0.6255	-0.2925	0.048	0	40	1034	1
2026-02-12	14:41:31.290	1.33	-0.14	0.21	0.00854	0.00976	1.009672	0.636	-0.264	0.0525	0	40	1034	1
2026-02-12	14:41:31.310	1.225	-1.61	0.28	0.012444	0.012688	1.015284	0.639	-0.2835	0.0465	0	40	1034	1
2026-02-12	14:41:31.330	1.225	0.385	0.245	0.010004	0.017324	1.0187	0.639	-0.228	0.042	0	40	1034	1
2026-02-12	14:41:31.350	1.05	-0.665	0.245	0.005368	0.00976	1.003816	0.639	-0.228	0.042	0	40	1034	1
2026-02-12	14:41:31.370	1.225	-1.19	0.21	0.014884	0.015616	1.016748	0.6315	-0.273	0.048	0	40	1034	1
2026-02-12	14:41:31.390	1.225	0.105	0.21	0.010004	0.015616	1.015772	0.6255	-0.3195	0.054	0	40	1034	1
2026-02-12	14:41:31.410	1.155	-0.385	0.245	0.006344	0.015616	1.005036	0.633	-0.273	0.0495	0	35	1035	1
2026-02-12	14:41:31.430	1.435	-1.435	0.28	0.012932	0.01342	1.022116	0.6405	-0.24	0.045	0	35	1035	1
2026-02-12	14:41:31.450	1.435	0.28	0.245	0.010736	0.009028	1.006744	0.6405	-0.252	0.048	0	35	1035	1
2026-02-12	14:41:31.470	1.4	-1.33	0.315	0.0122	0.014884	1.011136	0.6375	-0.2685	0.051	0	35	1035	1
2026-02-12	14:41:31.490	1.435	-0.525	0.28	0.011224	0.011224	1.018212	0.639	-0.2865	0.0525	0	35	1035	1
2026-02-12	14:41:31.510	1.19	-0.14	0.245	0.007564	0.0122	1.008208	0.639	-0.261	0.0495	0	35	1035	1
2026-02-12	14:41:31.530	1.33	-1.295	0.245	0.01342	0.01342	1.023092	0.636	-0.228	0.0465	0	35	1035	1
2026-02-12	14:41:31.550	1.085	0.245	0.28	0.008052	0.014396	1.007476	0.639	-0.234	0.0465	0	35	1035	1
2026-02-12	14:41:31.570	1.19	-1.295	0.28	0.008052	0.017324	1.016992	0.639	-0.2655	0.0525	0	35	1035	1
2026-02-12	14:41:31.590	1.26	-0.105	0.28	0.00854	0.012688	1.014064	0.642	-0.2805	0.0555	0	35	1035	1
2026-02-12	14:41:31.610	1.19	-0.7	0.28	0.010004	0.011956	1.007476	0.636	-0.252	0.051	0	31	1035	1
2026-02-12	14:41:31.630	1.575	-1.015	0.21	0.0122	0.010736	1.020408	0.63	-0.2355	0.0465	0	31	1035	1
2026-02-12	14:41:31.650	1.19	0.105	0.21	0.00732	0.011224	1.004792	0.6345	-0.243	0.048	0	31	1035	1
2026-02-12	14:41:31.670	1.4	-1.54	0.245	0.013908	0.010004	1.022116	0.6375	-0.2475	0.048	0	31	1035	1
2026-02-12	14:41:31.690	1.19	0.245	0.28	0.008052	0.014396	1.007964	0.6345	-0.261	0.048	0	31	1035	1
