yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	14:41:31.210	-302.225	-146.055	191.38	1.191208	0.325252	0.24278	-0.2655	0.057	0.3045	0	277	222	3
2026-02-12	14:41:31.230	-342.51	-153.615	180.145	1.247084	0.439444	0.2745	-0.264	0.09	0.315	0	277	222	3
2026-02-12	14:41:31.250	-389.165	-154.945	156.065	1.219756	0.396256	0.354288	-0.2625	0.126	0.351	0	277	222	3
2026-02-12	14:41:31.270	-380.555	-148.715	120.015	1.155096	0.114192	0.46116	-0.2625	0.1515	0.375	0	277	222	3
2026-02-12	14:41:31.290	-313.39	-130.83	88.655	1.145092	-0.056608	0.454084	-0.255	0.1725	0.4065	0	277	222	3
2026-02-12	14:41:31.310	-221.445	-109.445	66.885	1.177056	-0.119804	0.432612	-0.2565	0.1725	0.432	0	277	222	3
2026-02-12	14:41:31.330	-130.2	-83.23	52.99	1.224148	-0.188856	0.619272	-0.249	0.1785	0.462	0	277	222	3
2026-02-12	14:41:31.350	-36.575	-45.185	43.085	1.223416	-0.328668	0.656848	-0.2535	0.195	0.4785	0	277	222	3
2026-02-12	14:41:31.370	66.885	-7.42	35.91	1.131428	-0.25986	0.50142	-0.2385	0.186	0.4815	0	277	222	3
2026-02-12	14:41:31.390	142.905	16.8	27.755	1.060912	-0.094916	0.4575	-0.24	0.2055	0.4875	0	277	222	3
2026-02-12	14:41:31.410	207.165	40.285	13.16	1.083604	0.043432	0.594384	-0.2475	0.2115	0.4785	0	289	217	3
2026-02-12	14:41:31.430	287.385	78.085	-11.725	1.080432	0.0793	0.525332	-0.246	0.225	0.4695	0	289	217	3
2026-02-12	14:41:31.450	366.94	109.41	-42.91	1.009672	0.27328	0.353068	-0.2445	0.222	0.4425	0	289	217	3
2026-02-12	14:41:31.470	390.845	118.545	-69.965	1.020652	0.43066	0.319884	-0.2415	0.2235	0.399	0	289	217	3
2026-02-12	14:41:31.490	384.72	120.54	-97.895	1.049688	0.532652	0.313784	-0.2445	0.2205	0.3645	0	289	217	3
2026-02-12	14:41:31.510	365.015	117.775	-126.14	1.050176	0.552416	0.288896	-0.249	0.1965	0.3345	0	289	217	3
2026-02-12	14:41:31.530	347.865	111.51	-151.445	1.032852	0.483364	0.277672	-0.2535	0.165	0.303	0	289	217	3
2026-02-12	14:41:31.550	334.145	99.82	-171.885	1.037488	0.506544	0.201056	-0.2535	0.138	0.2805	0	289	217	3
2026-02-12	14:41:31.570	304.885	80.15	-184.73	1.032852	0.536556	0.20618	-0.249	0.1035	0.2655	0	289	217	3
2026-02-12	14:41:31.590	264.635	59.99	-190.365	1.049444	0.50752	0.250344	-0.243	0.0615	0.2505	0	289	217	3
2026-02-12	14:41:31.610	223.685	47.635	-188.685	1.013576	0.444324	0.219356	-0.2445	0.0225	0.252	0	299	241	3
2026-02-12	14:41:31.630	195.475	37.24	-180.005	0.954528	0.354532	0.115412	-0.2385	-0.0105	0.258	0	299	241	3
2026-02-12	14:41:31.650	170.415	25.095	-165.69	0.897432	0.335744	0.00488	-0.2265	-0.0285	0.2595	0	299	241	3
2026-02-12	14:41:31.670	147.07	12.81	-147.28	0.859124	0.311832	-0.066124	-0.2265	-0.0285	0.2595	0	299	241	3
2026-02-12	14:41:31.690	125.86	2.135	-125.37	0.80764	0.219112	-0.090036	-0.2175	-0.093	0.255	0	299	241	3
2026-02-12	14:41:31.710	102.585	-11.13	-80.99	0.727852	0.117364	-0.080764	-0.2175	-0.093	0.255	0	299	241	3
2026-02-12	14:41:31.730	81.2	-18.095	-48.755	0.7137	0.179584	0.009272	-0.201	-0.12	0.27	0	299	241	3
2026-02-12	14:41:31.750	45.29	-19.95	-15.785	0.694668	0.166164	0.078324	-0.189	-0.15	0.2895	0	299	241	3
2026-02-12	14:41:31.770	1.96	-17.815	19.635	0.683932	0.193736	0.070516	-0.192	-0.1545	0.294	0	299	241	3
2026-02-12	14:41:31.790	-41.195	-17.955	52.99	0.70638	0.261568	0.066612	-0.192	-0.156	0.2985	0	299	241	3
2026-02-12	14:41:31.810	-74.69	-16.31	81.235	0.722728	0.257664	0.033428	-0.1965	-0.15	0.3	0	307	241	3
2026-02-12	14:41:31.830	-90.125	-14.49	106.54	0.750056	0.304512	-0.001952	-0.2055	-0.138	0.3015	0	307	241	3
2026-02-12	14:41:31.850	-105.245	-16.345	132.335	0.817888	0.366488	-0.005368	-0.2085	-0.123	0.2985	0	307	241	3
2026-02-12	14:41:31.870	-123.76	-19.53	155.96	0.895968	0.450668	0.02196	-0.213	-0.102	0.2925	0	307	241	3
2026-02-12	14:41:31.890	-134.54	-22.715	173.495	0.962824	0.46116	0.02562	-0.225	-0.0765	0.285	0	307	241	3
2026-02-12	14:41:31.910	-130.585	-27.545	183.645	1.0248	0.54778	0.031232	-0.234	-0.0465	0.2805	0	307	241	3
