yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-17	14:18:47.810	1.19	-0.455	0.245	-0.010004	0.024156	1.015772	-0.1455	0.0105	0.0405	0	11	1038	1
2026-02-17	14:18:47.830	1.19	-0.56	0.21	-0.013908	0.01952	1.017724	-0.141	0.009	0.036	0	11	1038	1
2026-02-17	14:18:47.850	1.19	-0.49	0.245	-0.011224	0.020008	1.01748	-0.1425	0.009	0.0405	0	11	1038	1
2026-02-17	14:18:47.870	1.19	-0.49	0.28	-0.011712	0.023912	1.0126	-0.141	0.009	0.0435	0	11	1038	1
2026-02-17	14:18:47.890	1.155	-0.49	0.245	-0.011712	0.020984	1.014308	-0.1395	0.009	0.0405	0	11	1038	1
2026-02-17	14:18:47.910	1.155	-0.525	0.245	-0.011956	0.02318	1.01626	-0.1425	0.0135	0.0405	0	11	1038	1
2026-02-17	14:18:47.930	1.155	-0.49	0.245	-0.011224	0.023424	1.015284	-0.1455	0.0135	0.0435	0	11	1038	1
2026-02-17	14:18:47.950	1.155	-0.455	0.245	-0.011956	0.017568	1.014552	-0.1485	0.012	0.0435	0	11	1038	1
2026-02-17	14:18:47.970	1.155	-0.49	0.245	-0.010248	0.023668	1.01138	-0.1485	0.012	0.0435	0	11	1038	1
2026-02-17	14:18:47.990	1.19	-0.525	0.245	-0.013664	0.020984	1.013576	-0.144	0.0135	0.0375	0	11	1038	1
2026-02-17	14:18:48.010	1.155	-0.525	0.245	-0.01342	0.020252	1.01504	-0.144	0.0105	0.0435	0	10	1038	1
2026-02-17	14:18:48.030	1.19	-0.525	0.245	-0.010004	0.022692	1.015284	-0.15	0.0075	0.0405	0	10	1038	1
2026-02-17	14:18:48.050	1.19	-0.525	0.28	-0.011468	0.019764	1.01504	-0.1455	0.0135	0.0405	0	10	1038	1
2026-02-17	14:18:48.070	1.19	-0.49	0.245	-0.015616	0.021472	1.015772	-0.1395	0.006	0.048	0	10	1038	1
2026-02-17	14:18:48.090	1.19	-0.49	0.28	-0.010004	0.02318	1.015284	-0.15	0.009	0.0375	0	10	1038	1
2026-02-17	14:18:48.110	1.155	-0.49	0.245	-0.010004	0.02196	1.012356	-0.147	0.0135	0.0375	0	10	1038	1
2026-02-17	14:18:48.130	1.19	-0.455	0.28	-0.011468	0.021472	1.014796	-0.147	0.0165	0.0375	0	10	1038	1
2026-02-17	14:18:48.150	1.225	-0.525	0.245	-0.009272	0.022936	1.019432	-0.1485	0.0165	0.036	0	10	1038	1
2026-02-17	14:18:48.170	1.225	-0.525	0.28	-0.014884	0.024888	1.0187	-0.144	0.015	0.0465	0	10	1038	1
2026-02-17	14:18:48.190	1.155	-0.49	0.245	-0.010736	0.022692	1.011136	-0.147	0.012	0.042	0	10	1038	1
2026-02-17	14:18:48.210	1.19	-0.49	0.315	-0.009272	0.023668	1.015528	-0.1425	0.0075	0.0435	0	9	1038	1
2026-02-17	14:18:48.230	1.19	-0.525	0.28	-0.013176	0.018788	1.015528	-0.144	0.0075	0.042	0	9	1038	1
2026-02-17	14:18:48.250	1.19	-0.49	0.28	-0.01342	0.022692	1.0187	-0.1425	0.006	0.036	0	9	1038	1
2026-02-17	14:18:48.270	1.19	-0.49	0.245	-0.013176	0.02196	1.01504	-0.1425	0.0105	0.042	0	9	1038	1
2026-02-17	14:18:48.290	1.155	-0.525	0.28	-0.011956	0.022936	1.016748	-0.147	0.015	0.045	0	9	1038	1
2026-02-17	14:18:48.310	1.19	-0.525	0.28	-0.010004	0.02074	1.016992	-0.144	0.012	0.036	0	9	1038	1
2026-02-17	14:18:48.330	1.19	-0.49	0.245	-0.015616	0.022936	1.01626	-0.15	0.009	0.0375	0	9	1038	1
2026-02-17	14:18:48.350	1.19	-0.525	0.245	-0.010248	0.02074	1.015528	-0.141	0.015	0.045	0	9	1038	1
2026-02-17	14:18:48.370	1.19	-0.49	0.28	-0.01098	0.021472	1.015528	-0.1515	0.024	0.0435	0	9	1038	1
2026-02-17	14:18:48.390	1.225	-0.525	0.245	-0.010248	0.021228	1.016992	-0.1455	0.0105	0.039	0	9	1038	1
2026-02-17	14:18:48.410	1.19	-0.525	0.245	-0.010736	0.022448	1.013576	-0.1485	0.0105	0.0465	0	8	1038	1
2026-02-17	14:18:48.430	1.19	-0.525	0.245	-0.01586	0.022448	1.015284	-0.147	0.012	0.039	0	8	1038	1
2026-02-17	14:18:48.450	1.19	-0.525	0.245	-0.015372	0.019032	1.014552	-0.147	0.012	0.0375	0	8	1038	1
2026-02-17	14:18:48.470	1.155	-0.455	0.245	-0.01464	0.022448	1.015284	-0.147	0.012	0.0375	0	8	1038	1
2026-02-17	14:18:48.490	1.155	-0.49	0.245	-0.010492	0.02318	1.014796	-0.147	0.012	0.0375	0	8	1038	1
2026-02-17	14:18:48.510	1.155	-0.49	0.21	-0.004636	0.02562	1.013576	-0.147	0.012	0.0375	0	8	1038	1
2026-02-17	14:18:48.530	1.19	-0.63	0.28	-0.011468	0.021716	1.020164	-0.1425	0.0105	0.045	0	8	1038	1
2026-02-17	14:18:48.550	1.19	-0.385	0.28	-0.011468	0.020984	1.0126	-0.1425	0.006	0.0465	0	8	1038	1
2026-02-17	14:18:48.570	1.155	-0.525	0.28	-0.010248	0.022204	1.013332	-0.147	0.0045	0.0435	0	8	1038	1
2026-02-17	14:18:48.590	1.19	-0.56	0.245	-0.009272	0.019276	1.017724	-0.1425	0.0105	0.042	0	8	1038	1
2026-02-17	14:18:48.610	1.155	-0.49	0.245	-0.01098	0.02074	1.014308	-0.144	0.0075	0.036	0	7	1038	1
2026-02-17	14:18:48.630	1.225	-0.525	0.28	-0.012932	0.0183	1.01504	-0.1485	0.006	0.042	0	7	1038	1
2026-02-17	14:18:48.650	1.155	-0.525	0.245	-0.012688	0.022936	1.017236	-0.144	0.0105	0.048	0	7	1038	1
2026-02-17	14:18:48.670	1.19	-0.49	0.245	-0.010004	0.022448	1.014796	-0.1425	0.012	0.045	0	7	1038	1
2026-02-17	14:18:48.690	1.19	-0.49	0.28	-0.010736	0.020984	1.014796	-0.1425	0.0075	0.0435	0	7	1038	1
2026-02-17	14:18:48.710	1.19	-0.525	0.245	-0.012688	0.022448	1.017236	-0.147	0.006	0.0435	0	7	1038	1
2026-02-17	14:18:48.730	1.19	-0.49	0.245	-0.013664	0.022448	1.016992	-0.144	0.0105	0.0435	0	7	1038	1
2026-02-17	14:18:48.750	1.155	-0.49	0.245	-0.01342	0.023912	1.017236	-0.147	0.0075	0.0435	0	7	1038	1
2026-02-17	14:18:48.770	1.19	-0.455	0.21	-0.0122	0.019764	1.01382	-0.1485	0.009	0.0435	0	7	1038	1
2026-02-17	14:18:48.790	1.155	-0.525	0.21	-0.0122	0.024888	1.019188	-0.147	0.015	0.039	0	7	1038	1
2026-02-17	14:19:26.810	1.19	-0.56	0.245	-0.00854	0.02196	1.018212	-0.1515	0.009	0.036	0	7	16	2
2026-02-17	14:19:26.830	1.225	-0.525	0.28	-0.012932	0.0183	1.01504	-0.1485	0.006	0.042	0	7	16	2
2026-02-17	14:19:26.850	1.155	-0.525	0.245	-0.012688	0.022936	1.017236	-0.144	0.0105	0.048	0	7	16	2
2026-02-17	14:19:26.870	1.19	-0.49	0.245	-0.010004	0.022448	1.014796	-0.1425	0.012	0.045	0	7	16	2
2026-02-17	14:19:26.890	1.19	-0.49	0.28	-0.010736	0.020984	1.014796	-0.1425	0.0075	0.0435	0	7	16	2
2026-02-17	14:19:26.910	1.19	-0.525	0.245	-0.012688	0.022448	1.017236	-0.147	0.006	0.0435	0	7	16	2
2026-02-17	14:19:26.930	1.19	-0.49	0.245	-0.013664	0.022448	1.016992	-0.144	0.0105	0.0435	0	7	16	2
2026-02-17	14:19:26.950	1.155	-0.49	0.245	-0.01342	0.023912	1.017236	-0.147	0.0075	0.0435	0	7	16	2
2026-02-17	14:19:26.970	1.19	-0.455	0.21	-0.0122	0.019764	1.01382	-0.1485	0.009	0.0435	0	7	16	2
2026-02-17	14:19:26.990	10.465	-9.205	4.76	-0.013176	0.027816	1.014796	-0.147	0.015	0.039	0	7	16	2
2026-02-17	14:19:27.010	2.065	-1.33	0.805	-0.010492	0.026108	1.011868	-0.1245	-0.12	0.1965	0	83	167	2
