yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:25:12.410	-35.735	-4.2	30.555	0.829844	-0.259616	0.754204	-0.2175	0.7425	-0.5685	0	42	624	1
2026-02-19	12:25:12.430	-45.71	-19.705	40.81	0.918172	-0.4392	0.879132	-0.2085	0.7515	-0.5655	0	42	624	1
2026-02-19	12:25:12.450	-73.115	-45.92	49.805	1.057984	-0.674172	1.033096	-0.2085	0.7635	-0.561	0	42	624	1
2026-02-19	12:25:12.470	-154.735	-55.72	72.38	1.219756	-0.222284	1.470588	-0.21	0.78	-0.549	0	42	624	1
2026-02-19	12:25:12.490	-213.955	-36.505	113.89	1.319552	-1.464	1.159488	-0.213	0.789	-0.5385	0	42	624	1
2026-02-19	12:25:12.510	-122.01	-12.74	169.085	1.513532	-1.46522	1.049932	-0.195	0.8535	-0.498	0	42	624	1
2026-02-19	12:25:12.530	-50.155	34.37	225.12	1.747772	-1.81658	0.956724	-0.168	0.8835	-0.4875	0	42	624	1
2026-02-19	12:25:12.550	-0.525	94.185	292.11	1.830244	-1.84098	0.910608	-0.1245	0.9105	-0.4875	0	42	624	1
2026-02-19	12:25:12.570	19.565	148.155	344.715	1.71532	-1.535004	1.106052	-0.06	0.9495	-0.4905	0	42	624	1
2026-02-19	12:25:12.590	14.21	195.405	374.85	1.342488	-1.279048	1.03578	0	0.9615	-0.4995	0	42	624	1
2026-02-19	12:25:12.610	29.785	233.8	380.38	0.890112	-0.904264	0.814472	0.1005	0.9675	-0.5055	0	57	660	1
2026-02-19	12:25:12.630	70.805	268.45	363.755	0.528016	-0.438468	0.415776	0.195	0.9525	-0.501	0	57	660	1
2026-02-19	12:25:12.650	117.46	298.375	332.465	0.3233	-0.170068	0.036356	0.2805	0.9405	-0.4965	0	57	660	1
2026-02-19	12:25:12.670	140.945	345.24	269.5	0.329644	0.521672	-0.718824	0.354	0.909	-0.486	0	57	660	1
2026-02-19	12:25:12.690	114.8	357.28	210.805	0.15982	0.8723	-1.097268	0.4215	0.8685	-0.468	0	57	660	1
2026-02-19	12:25:12.710	55.685	325.325	150.675	0.010004	0.743712	-1.073844	0.489	0.828	-0.4515	0	57	660	1
2026-02-19	12:25:12.730	-23.17	227.22	85.715	-0.077836	0.472628	-1.302472	0.489	0.828	-0.4515	0	57	660	1
2026-02-19	12:25:12.750	-61.495	42.595	22.715	-0.004392	0.63928	-1.819264	0.558	0.792	-0.375	0	57	660	1
2026-02-19	12:25:12.770	-64.05	-135.625	-27.475	-0.04514	0.550708	-1.800476	0.57	0.777	-0.348	0	57	660	1
2026-02-19	12:25:12.790	-26.39	-274.33	-58.065	0.038308	0.126392	-1.18462	0.564	0.7905	-0.3615	0	57	660	1
2026-02-19	12:25:12.810	15.015	-389.165	-71.225	0.01464	-0.268888	-0.353556	0.5445	0.795	-0.3885	0	108	608	1
2026-02-19	12:25:12.830	-2.695	-489.51	-78.155	0.203008	-0.46848	0.45628	0.5115	0.813	-0.4395	0	108	608	1
2026-02-19	12:25:12.850	-6.3	-532.455	-85.68	0.52338	-1.01748	1.587952	0.462	0.8085	-0.501	0	108	608	1
2026-02-19	12:25:12.870	49.49	-480.2	-52.43	0.643916	-1.589172	1.911984	0.462	0.8085	-0.501	0	108	608	1
2026-02-19	12:25:12.890	156.66	-391.335	9.94	1.121668	-2.170624	2.685952	0.3525	0.816	-0.5685	0	108	608	1
2026-02-19	12:25:12.910	235.095	-258.965	80.29	1.016504	-1.601372	3.280336	0.2205	0.8085	-0.648	0	108	608	1
2026-02-19	12:25:12.930	242.375	-120.61	115.5	0.839604	-0.799832	3.432592	0.183	0.771	-0.675	0	108	608	1
2026-02-19	12:25:12.950	145.425	22.61	111.475	0.598532	-0.377712	3.16346	0.1635	0.7335	-0.7005	0	108	608	1
2026-02-19	12:25:12.970	44.38	152.215	86.45	0.393816	-0.41846	2.551996	0.1695	0.699	-0.7125	0	108	608	1
2026-02-19	12:25:12.990	17.36	252.07	69.195	0.311588	-0.486292	2.012756	0.201	0.681	-0.708	0	108	608	1
2026-02-19	12:25:13.010	60.27	329.735	60.62	0.306952	-0.40504	1.548668	0.2475	0.6765	-0.702	0	207	587	1
2026-02-19	12:25:13.030	107.205	392.21	49.735	0.32696	-0.136152	1.060668	0.3015	0.6675	-0.6885	0	207	587	1
2026-02-19	12:25:13.050	84.385	448.455	22.47	0.434808	0.040016	0.51606	0.3675	0.6495	-0.6615	0	207	587	1
2026-02-19	12:25:13.070	-0.805	484.995	-9.485	0.564372	0.099064	-0.015372	0.4035	0.636	-0.6435	0	207	587	1
2026-02-19	12:25:13.090	-75.355	490.07	-28.98	0.513132	-0.12688	-0.785924	0.531	0.627	-0.531	0	207	587	1
2026-02-19	12:25:13.110	-156.52	456.12	-32.025	0.116388	-0.12566	-1.5433	0.5805	0.6465	-0.453	0	207	587	1
2026-02-19	12:25:13.130	-242.725	327.775	-23.205	-0.450424	-0.587552	-2.011536	0.612	0.651	-0.3795	0	207	587	1
2026-02-19	12:25:13.150	-144.725	90.3	10.325	-0.552904	-0.95892	-2.3241	0.6165	0.6705	-0.3045	0	207	587	1
2026-02-19	12:25:13.170	32.935	-150.745	31.99	-0.4758	-0.536068	-1.950048	0.6315	0.678	-0.282	0	207	587	1
2026-02-19	12:25:13.190	57.75	-313.705	31.325	-0.326228	-0.09394	-1.036268	0.6255	0.678	-0.3075	0	207	587	1
2026-02-19	12:25:11.210	-5.285	5.81	-8.015	0.737856	-0.286456	0.6161	-0.258	0.708	-0.5595	0	49	581	1
2026-02-19	12:25:11.230	-6.09	5.635	-8.715	0.735172	-0.273524	0.571448	-0.2625	0.711	-0.564	0	49	581	1
2026-02-19	12:25:11.250	-4.34	5.25	-9.1	0.752252	-0.302316	0.529968	-0.264	0.7095	-0.5655	0	49	581	1
2026-02-19	12:25:11.270	-3.885	4.97	-9.555	0.761768	-0.343796	0.577548	-0.2595	0.708	-0.564	0	49	581	1
2026-02-19	12:25:11.290	-3.99	4.69	-8.995	0.759328	-0.33794	0.59414	-0.2685	0.7035	-0.5655	0	49	581	1
2026-02-19	12:25:11.310	-2.87	3.29	-8.715	0.717604	-0.260348	0.600972	-0.2595	0.7125	-0.5595	0	49	581	1
2026-02-19	12:25:11.330	-0.77	2.275	-9.135	0.712968	-0.261812	0.612196	-0.255	0.7065	-0.5595	0	49	581	1
2026-02-19	12:25:11.350	2.345	2.415	-9.905	0.725168	-0.297192	0.638548	-0.2565	0.702	-0.561	0	49	581	1
2026-02-19	12:25:11.370	3.36	2.31	-9.52	0.749324	-0.30988	0.636596	-0.2595	0.702	-0.561	0	49	581	1
2026-02-19	12:25:11.390	2.695	2.38	-8.225	0.752496	-0.287676	0.588528	-0.2595	0.705	-0.5595	0	49	581	1
2026-02-19	12:25:11.410	0.56	1.925	-6.825	0.750788	-0.280112	0.564616	-0.2625	0.702	-0.564	0	46	585	1
2026-02-19	12:25:11.430	0	2.275	-6.09	0.75274	-0.284992	0.582184	-0.2625	0.6975	-0.5655	0	46	585	1
2026-02-19	12:25:11.450	-1.155	3.745	-5.95	0.751764	-0.308172	0.590724	-0.258	0.699	-0.564	0	46	585	1
2026-02-19	12:25:11.470	-2.45	4.375	-5.67	0.749568	-0.2806	0.60634	-0.258	0.6975	-0.564	0	46	585	1
2026-02-19	12:25:11.490	-1.785	5.04	-5.915	0.74908	-0.25498	0.599264	-0.2595	0.7005	-0.5655	0	46	585	1
2026-02-19	12:25:11.510	-0.63	4.62	-6.195	0.740784	-0.243756	0.618784	-0.258	0.702	-0.5685	0	46	585	1
2026-02-19	12:25:11.530	-0.49	4.725	-6.44	0.749568	-0.253272	0.615856	-0.255	0.696	-0.567	0	46	585	1
2026-02-19	12:25:11.550	-0.525	4.13	-6.405	0.755668	-0.25132	0.604876	-0.267	0.693	-0.5775	0	46	585	1
2026-02-19	12:25:11.570	0.84	2.94	-6.195	0.761768	-0.25132	0.59292	-0.2625	0.702	-0.57	0	46	585	1
2026-02-19	12:25:11.590	0.91	2.625	-6.055	0.751276	-0.256688	0.590724	-0.2505	0.687	-0.5655	0	46	585	1
2026-02-19	12:25:11.610	1.12	2.87	-5.845	0.752496	-0.24156	0.596092	-0.2595	0.6915	-0.567	0	43	591	1
2026-02-19	12:25:11.630	1.26	2.975	-5.915	0.759816	-0.237656	0.60024	-0.2685	0.6945	-0.57	0	43	591	1
2026-02-19	12:25:11.650	0.42	2.765	-5.81	0.759084	-0.232532	0.600484	-0.27	0.7035	-0.564	0	43	591	1
2026-02-19	12:25:11.670	-0.175	2.52	-4.935	0.753228	-0.226432	0.60268	-0.267	0.693	-0.57	0	43	591	1
2026-02-19	12:25:11.690	2.275	1.26	-3.815	0.760304	-0.230336	0.60024	-0.2625	0.7005	-0.5715	0	43	591	1
2026-02-19	12:25:11.710	3.115	1.4	-3.01	0.777384	-0.243756	0.613172	-0.2595	0.6975	-0.573	0	43	591	1
2026-02-19	12:25:11.730	1.26	1.05	-2.59	0.7686	-0.236192	0.615612	-0.258	0.6915	-0.573	0	43	591	1
2026-02-19	12:25:11.750	-0.665	-0.385	-2.835	0.756644	-0.22326	0.594628	-0.267	0.6885	-0.573	0	43	591	1
2026-02-19	12:25:11.770	-0.91	-0.525	-2.8	0.770796	-0.230092	0.58316	-0.2685	0.6915	-0.567	0	43	591	1
2026-02-19	12:25:11.790	-1.155	0.385	-2.695	0.77958	-0.225456	0.589504	-0.261	0.6885	-0.564	0	43	591	1
2026-02-19	12:25:11.810	-3.395	0.84	-2.625	0.778116	-0.23424	0.592188	-0.2595	0.6885	-0.567	0	42	597	1
2026-02-19	12:25:11.830	-4.515	0.805	-2.31	0.767136	-0.227164	0.588772	-0.2655	0.696	-0.5685	0	42	597	1
2026-02-19	12:25:11.850	-4.935	0.63	-1.155	0.767624	-0.21228	0.5856	-0.264	0.696	-0.5655	0	42	597	1
2026-02-19	12:25:11.870	-5.32	0.665	-0.14	0.769088	-0.197396	0.578524	-0.2625	0.693	-0.5625	0	42	597	1
2026-02-19	12:25:11.890	-5.6	0.245	-0.315	0.762744	-0.23668	0.599752	-0.2655	0.693	-0.564	0	42	597	1
2026-02-19	12:25:11.910	-5.39	0.525	-0.245	0.76128	-0.239608	0.587308	-0.2655	0.693	-0.564	0	42	597	1
2026-02-19	12:25:11.930	-5.46	0.455	-0.28	0.745908	-0.231068	0.584136	-0.264	0.696	-0.5655	0	42	597	1
2026-02-19	12:25:11.950	-4.41	1.12	-0.77	0.742492	-0.266936	0.604144	-0.2655	0.6915	-0.5655	0	42	597	1
2026-02-19	12:25:11.970	-2.905	2.205	0.07	0.745176	-0.2684	0.660264	-0.264	0.69	-0.5655	0	42	597	1
2026-02-19	12:25:11.990	-1.47	3.255	1.26	0.731756	-0.270352	0.653188	-0.264	0.69	-0.567	0	42	597	1
2026-02-19	12:25:12.010	-2.52	3.36	2.03	0.7076	-0.30134	0.661484	-0.2655	0.6915	-0.567	0	41	602	1
2026-02-19	12:25:12.030	-2.94	3.71	3.465	0.711016	-0.30866	0.66246	-0.2655	0.693	-0.5655	0	41	602	1
2026-02-19	12:25:12.050	-4.445	5.495	5.88	0.744688	-0.263032	0.655872	-0.264	0.693	-0.5625	0	41	602	1
2026-02-19	12:25:12.070	-6.895	7.7	6.23	0.732488	-0.256444	0.638548	-0.2625	0.693	-0.5595	0	41	602	1
2026-02-19	12:25:12.090	-10.605	9.275	4.76	0.700768	-0.345016	0.623176	-0.2655	0.696	-0.5595	0	41	602	1
2026-02-19	12:25:12.110	-9.24	10.22	5.67	0.71126	-0.284504	0.625372	-0.2655	0.7035	-0.567	0	41	602	1
2026-02-19	12:25:12.130	-7.455	10.325	6.44	0.712724	-0.259372	0.6405	-0.2505	0.7035	-0.5685	0	41	602	1
2026-02-19	12:25:12.150	-6.615	11.06	6.895	0.709064	-0.305488	0.669048	-0.255	0.7065	-0.5685	0	41	602	1
2026-02-19	12:25:12.170	-5.46	9.975	7.84	0.687836	-0.308416	0.670268	-0.2445	0.702	-0.5655	0	41	602	1
2026-02-19	12:25:12.190	-4.62	9.31	10.185	0.701012	-0.255712	0.669536	-0.249	0.717	-0.564	0	41	602	1
2026-02-19	12:25:12.210	-4.2	9.835	12.075	0.720532	-0.240096	0.659044	-0.243	0.717	-0.5655	0	41	610	1
2026-02-19	12:25:12.230	-7.14	11.41	11.515	0.721752	-0.284992	0.653188	-0.255	0.7185	-0.57	0	41	610	1
2026-02-19	12:25:12.250	-8.12	10.325	9.205	0.722972	-0.360144	0.611708	-0.2445	0.72	-0.573	0	41	610	1
2026-02-19	12:25:12.270	-4.48	9.03	7.21	0.731512	-0.366	0.61732	-0.2355	0.723	-0.5715	0	41	610	1
2026-02-19	12:25:12.290	-2.31	6.58	6.02	0.747616	-0.24766	0.59536	-0.2355	0.723	-0.5715	0	41	610	1
2026-02-19	12:25:12.310	-10.045	10.815	7.56	0.755668	-0.188124	0.6405	-0.2325	0.723	-0.5685	0	41	610	1
2026-02-19	12:25:12.330	-21.875	14.77	10.5	0.71858	-0.21838	0.697108	-0.2295	0.7275	-0.564	0	41	610	1
2026-02-19	12:25:12.350	-23.31	12.11	14	0.726388	-0.182024	0.637572	-0.2265	0.7335	-0.5655	0	41	610	1
2026-02-19	12:25:12.370	-34.23	10.395	12.88	0.72712	-0.192516	0.661484	-0.2235	0.735	-0.5655	0	41	610	1
2026-02-19	12:25:12.390	-37.135	6.895	19.39	0.781044	-0.27572	0.729316	-0.225	0.7365	-0.5655	0	41	610	1
2026-02-19	12:25:12.410	-35.735	-4.2	30.555	0.829844	-0.259616	0.754204	-0.2175	0.7425	-0.5685	0	42	624	1
2026-02-19	12:25:12.430	-45.71	-19.705	40.81	0.918172	-0.4392	0.879132	-0.2085	0.7515	-0.5655	0	42	624	1
2026-02-19	12:25:12.450	-73.115	-45.92	49.805	1.057984	-0.674172	1.033096	-0.2085	0.7635	-0.561	0	42	624	1
2026-02-19	12:25:12.470	-154.735	-55.72	72.38	1.219756	-0.222284	1.470588	-0.21	0.78	-0.549	0	42	624	1
2026-02-19	12:25:12.490	-213.955	-36.505	113.89	1.319552	-1.464	1.159488	-0.213	0.789	-0.5385	0	42	624	1
2026-02-19	12:25:12.510	-122.01	-12.74	169.085	1.513532	-1.46522	1.049932	-0.195	0.8535	-0.498	0	42	624	1
2026-02-19	12:25:12.530	-50.155	34.37	225.12	1.747772	-1.81658	0.956724	-0.168	0.8835	-0.4875	0	42	624	1
2026-02-19	12:25:12.550	-0.525	94.185	292.11	1.830244	-1.84098	0.910608	-0.1245	0.9105	-0.4875	0	42	624	1
2026-02-19	12:25:12.570	19.565	148.155	344.715	1.71532	-1.535004	1.106052	-0.06	0.9495	-0.4905	0	42	624	1
2026-02-19	12:25:12.590	14.21	195.405	374.85	1.342488	-1.279048	1.03578	0	0.9615	-0.4995	0	42	624	1
2026-02-19	12:25:12.610	29.785	233.8	380.38	0.890112	-0.904264	0.814472	0.1005	0.9675	-0.5055	0	57	660	1
2026-02-19	12:25:12.630	70.805	268.45	363.755	0.528016	-0.438468	0.415776	0.195	0.9525	-0.501	0	57	660	1
2026-02-19	12:25:12.650	117.46	298.375	332.465	0.3233	-0.170068	0.036356	0.2805	0.9405	-0.4965	0	57	660	1
2026-02-19	12:25:12.670	140.945	345.24	269.5	0.329644	0.521672	-0.718824	0.354	0.909	-0.486	0	57	660	1
2026-02-19	12:25:12.690	114.8	357.28	210.805	0.15982	0.8723	-1.097268	0.4215	0.8685	-0.468	0	57	660	1
2026-02-19	12:25:12.710	55.685	325.325	150.675	0.010004	0.743712	-1.073844	0.489	0.828	-0.4515	0	57	660	1
2026-02-19	12:25:12.730	-23.17	227.22	85.715	-0.077836	0.472628	-1.302472	0.489	0.828	-0.4515	0	57	660	1
2026-02-19	12:25:12.750	-61.495	42.595	22.715	-0.004392	0.63928	-1.819264	0.558	0.792	-0.375	0	57	660	1
2026-02-19	12:25:12.770	-64.05	-135.625	-27.475	-0.04514	0.550708	-1.800476	0.57	0.777	-0.348	0	57	660	1
2026-02-19	12:25:12.790	-26.39	-274.33	-58.065	0.038308	0.126392	-1.18462	0.564	0.7905	-0.3615	0	57	660	1
2026-02-19	12:25:12.810	15.015	-389.165	-71.225	0.01464	-0.268888	-0.353556	0.5445	0.795	-0.3885	0	108	608	1
2026-02-19	12:25:12.830	-2.695	-489.51	-78.155	0.203008	-0.46848	0.45628	0.5115	0.813	-0.4395	0	108	608	1
2026-02-19	12:25:12.850	-6.3	-532.455	-85.68	0.52338	-1.01748	1.587952	0.462	0.8085	-0.501	0	108	608	1
2026-02-19	12:25:12.870	49.49	-480.2	-52.43	0.643916	-1.589172	1.911984	0.462	0.8085	-0.501	0	108	608	1
2026-02-19	12:25:12.890	156.66	-391.335	9.94	1.121668	-2.170624	2.685952	0.3525	0.816	-0.5685	0	108	608	1
2026-02-19	12:25:12.910	235.095	-258.965	80.29	1.016504	-1.601372	3.280336	0.2205	0.8085	-0.648	0	108	608	1
2026-02-19	12:25:12.930	242.375	-120.61	115.5	0.839604	-0.799832	3.432592	0.183	0.771	-0.675	0	108	608	1
2026-02-19	12:25:12.950	145.425	22.61	111.475	0.598532	-0.377712	3.16346	0.1635	0.7335	-0.7005	0	108	608	1
2026-02-19	12:25:12.970	44.38	152.215	86.45	0.393816	-0.41846	2.551996	0.1695	0.699	-0.7125	0	108	608	1
2026-02-19	12:25:12.990	17.36	252.07	69.195	0.311588	-0.486292	2.012756	0.201	0.681	-0.708	0	108	608	1
2026-02-19	12:25:13.010	60.27	329.735	60.62	0.306952	-0.40504	1.548668	0.2475	0.6765	-0.702	0	207	587	1
2026-02-19	12:25:13.030	107.205	392.21	49.735	0.32696	-0.136152	1.060668	0.3015	0.6675	-0.6885	0	207	587	1
2026-02-19	12:25:13.050	84.385	448.455	22.47	0.434808	0.040016	0.51606	0.3675	0.6495	-0.6615	0	207	587	1
2026-02-19	12:25:13.070	-0.805	484.995	-9.485	0.564372	0.099064	-0.015372	0.4035	0.636	-0.6435	0	207	587	1
2026-02-19	12:25:13.090	-75.355	490.07	-28.98	0.513132	-0.12688	-0.785924	0.531	0.627	-0.531	0	207	587	1
2026-02-19	12:25:13.110	-156.52	456.12	-32.025	0.116388	-0.12566	-1.5433	0.5805	0.6465	-0.453	0	207	587	1
2026-02-19	12:25:13.130	-242.725	327.775	-23.205	-0.450424	-0.587552	-2.011536	0.612	0.651	-0.3795	0	207	587	1
2026-02-19	12:25:13.150	-144.725	90.3	10.325	-0.552904	-0.95892	-2.3241	0.6165	0.6705	-0.3045	0	207	587	1
2026-02-19	12:25:13.170	32.935	-150.745	31.99	-0.4758	-0.536068	-1.950048	0.6315	0.678	-0.282	0	207	587	1
2026-02-19	12:25:13.190	57.75	-313.705	31.325	-0.326228	-0.09394	-1.036268	0.6255	0.678	-0.3075	0	207	587	1
2026-02-19	12:25:11.210	-5.285	5.81	-8.015	0.737856	-0.286456	0.6161	-0.258	0.708	-0.5595	0	49	581	1
2026-02-19	12:25:11.230	-6.09	5.635	-8.715	0.735172	-0.273524	0.571448	-0.2625	0.711	-0.564	0	49	581	1
2026-02-19	12:25:11.250	-4.34	5.25	-9.1	0.752252	-0.302316	0.529968	-0.264	0.7095	-0.5655	0	49	581	1
2026-02-19	12:25:11.270	-3.885	4.97	-9.555	0.761768	-0.343796	0.577548	-0.2595	0.708	-0.564	0	49	581	1
2026-02-19	12:25:11.290	-3.99	4.69	-8.995	0.759328	-0.33794	0.59414	-0.2685	0.7035	-0.5655	0	49	581	1
2026-02-19	12:25:11.310	-2.87	3.29	-8.715	0.717604	-0.260348	0.600972	-0.2595	0.7125	-0.5595	0	49	581	1
2026-02-19	12:25:11.330	-0.77	2.275	-9.135	0.712968	-0.261812	0.612196	-0.255	0.7065	-0.5595	0	49	581	1
