yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:25:12.410	-21.525	6.055	-30.8	0.935984	0.30988	0.60634	-0.9495	0.297	0.069	0	51	383	2
2026-02-19	12:25:12.430	-39.41	-9.87	-38.605	1.020896	0.366976	0.780312	-0.9435	0.2925	0.0615	0	51	383	2
2026-02-19	12:25:12.450	-40.32	-24.99	-49.28	1.225612	0.393084	0.875228	-0.9405	0.294	0.063	0	51	383	2
2026-02-19	12:25:12.470	-9.205	-34.58	-59.675	1.174372	0.212768	0.957212	-0.9285	0.291	0.072	0	51	383	2
2026-02-19	12:25:12.490	8.575	-42.595	-78.82	1.138992	0.360632	1.050176	-0.909	0.2775	0.0795	0	51	383	2
2026-02-19	12:25:12.510	-18.305	-40.67	-97.51	1.397388	0.682224	1.226588	-0.8925	0.2505	0.0855	0	51	383	2
2026-02-19	12:25:12.530	-76.755	-16.065	-120.505	1.60674	0.948672	1.213656	-0.8655	0.228	0.1005	0	51	383	2
2026-02-19	12:25:12.550	-86.345	12.075	-160.755	2.111576	0.937692	0.75152	-0.8265	0.213	0.096	0	51	383	2
2026-02-19	12:25:12.570	-59.115	67.795	-216.335	2.429264	0.936716	0.507276	-0.7785	0.1935	0.096	0	51	383	2
2026-02-19	12:25:12.590	-49.595	181.65	-276.99	2.28018	0.967948	1.013332	-0.7275	0.174	0.087	0	51	383	2
2026-02-19	12:25:12.610	-24.71	293.335	-312.235	1.617964	0.578768	1.088972	-0.639	0.135	0.069	0	61	431	3
2026-02-19	12:25:12.630	14.77	350.14	-308.77	0.91012	0.427976	0.571936	-0.525	0.1245	0.0585	0	61	431	3
2026-02-19	12:25:12.650	35.805	366.905	-293.405	0.548268	0.367952	0.040504	-0.3585	0.1095	0.0525	0	61	431	3
2026-02-19	12:25:12.670	51.275	376.985	-274.365	0.260348	0.220576	-0.406016	-0.252	0.1065	0.066	0	61	431	3
2026-02-19	12:25:12.690	88.41	370.23	-252	0.21228	0.016592	-0.81984	-0.15	0.114	0.093	0	61	431	3
2026-02-19	12:25:12.710	121.905	336.595	-235.34	0.14396	0.17202	-0.930372	-0.0645	0.1245	0.132	0	61	431	3
2026-02-19	12:25:12.730	125.685	242.55	-216.685	0.053192	0.297436	-1.08092	0	0.132	0.171	0	61	431	3
2026-02-19	12:25:12.750	136.745	97.37	-174.3	-0.197152	-0.3233	-1.672864	0.045	0.1425	0.21	0	61	431	3
2026-02-19	12:25:12.770	123.55	-73.29	-115.255	-0.437492	-0.797636	-1.897588	0.063	0.1545	0.231	0	61	431	3
2026-02-19	12:25:12.790	108.745	-222.18	-54.67	-0.349164	-0.813496	-1.417396	0.0795	0.1665	0.252	0	61	431	3
2026-02-19	12:25:12.810	114.765	-346.815	7.49	-0.151036	-0.631716	-0.869372	0.075	0.153	0.2385	0	103	418	3
2026-02-19	12:25:12.830	137.34	-443.31	62.93	0.22448	0.006588	-0.077104	0.048	0.15	0.2115	0	103	418	3
2026-02-19	12:25:12.850	136.325	-490.455	116.095	0.585112	0.93208	1.299788	0	0.123	0.1755	0	103	418	3
2026-02-19	12:25:12.870	45.395	-481.075	143.955	0.691008	1.83488	2.086688	-0.0735	0.0945	0.1545	0	103	418	3
2026-02-19	12:25:12.890	-225.47	-400.54	115.255	0.792024	3.325232	2.330444	-0.1635	0.072	0.1335	0	103	418	3
2026-02-19	12:25:12.910	-426.09	-296.59	18.375	1.52988	2.566636	3.126372	-0.2325	0.075	0.0975	0	103	418	3
2026-02-19	12:25:12.930	-325.465	-9.205	-47.32	1.022116	-0.024644	3.278628	-0.2325	0.075	0.0975	0	103	418	3
2026-02-19	12:25:12.950	-96.53	135.87	-48.58	0.922076	0.378932	2.709132	-0.258	0.1605	0.0465	0	103	418	3
2026-02-19	12:25:12.970	-14.98	257.285	-48.09	0.904996	0.791048	2.068144	-0.264	0.255	-0.003	0	103	418	3
2026-02-19	12:25:12.990	-35.21	359.275	-41.265	0.771528	0.598288	1.335412	-0.213	0.2655	0.0015	0	103	418	3
2026-02-19	12:25:13.010	-43.61	431.095	-34.125	0.595116	0.334524	0.52338	-0.147	0.2715	0.0165	0	196	413	3
2026-02-19	12:25:13.030	5.985	472.255	-39.095	0.4514	0.184708	-0.078812	-0.069	0.282	0.048	0	196	413	3
2026-02-19	12:25:13.050	83.09	490.595	-52.255	0.412848	0.363316	-0.425536	0.006	0.2895	0.09	0	196	413	3
2026-02-19	12:25:13.070	119.595	498.015	-62.58	0.393572	0.404552	-0.71126	0.0795	0.285	0.15	0	196	413	3
2026-02-19	12:25:13.090	140	491.54	-79.065	0.182024	0.221796	-1.281976	0.1425	0.2835	0.228	0	196	413	3
2026-02-19	12:25:13.110	161.77	429.1	-102.62	-0.3599	0.2318	-2.13744	0.1665	0.2835	0.267	0	196	413	3
2026-02-19	12:25:13.130	128.94	250.425	-105.63	-0.884744	0.511668	-2.350452	0.207	0.303	0.36	0	196	413	3
2026-02-19	12:25:13.150	73.885	-19.25	-66.36	-0.893284	0.436272	-2.524668	0.2325	0.3075	0.4215	0	196	413	3
2026-02-19	12:25:13.170	36.33	-279.615	-12.005	-0.556076	0.045872	-2.19966	0.237	0.315	0.4335	0	196	413	3
2026-02-19	12:25:13.190	44.485	-461.265	27.545	-0.00244	-0.082228	-1.161684	0.228	0.3225	0.3885	0	196	413	3
2026-02-19	12:25:11.210	10.885	3.29	-15.435	0.941596	0.219112	0.373564	-1.0215	0.3645	0.1365	0	65	381	2
2026-02-19	12:25:11.230	15.68	6.405	-17.255	0.87352	0.157624	0.328424	-1.02	0.3555	0.141	0	65	381	2
2026-02-19	12:25:11.250	14.035	7.77	-14.805	0.906216	0.24888	0.381372	-1.0185	0.3405	0.1335	0	65	381	2
2026-02-19	12:25:11.270	14.105	8.995	-12.53	0.917196	0.291336	0.4392	-1.017	0.3405	0.138	0	65	381	2
2026-02-19	12:25:11.290	11.865	7.595	-10.78	0.917196	0.261324	0.397964	-1.011	0.345	0.1365	0	65	381	2
2026-02-19	12:25:11.310	10.99	4.795	-10.465	0.881816	0.224236	0.34038	-1.0065	0.3345	0.1335	0	65	381	2
2026-02-19	12:25:11.330	6.825	1.19	-8.26	0.884256	0.232044	0.357948	-1.011	0.3285	0.1455	0	65	381	2
