yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:45:54.810	-141.785	33.46	73.745	-0.673196	0.615612	0.639524	0.249	-0.4275	0.048	0	1259	548	5
2026-02-19	12:45:54.830	-157.115	53.62	40.6	-0.726876	0.650016	0.686128	0.249	-0.4275	0.048	0	1259	548	5
2026-02-19	12:45:54.850	-171.29	95.27	6.615	-0.704672	0.687592	0.6954	0.246	-0.402	0.018	0	1259	548	5
2026-02-19	12:45:54.870	-217.665	108.85	-37.975	-0.951844	0.638792	0.624152	0.246	-0.402	0.018	0	1259	548	5
2026-02-19	12:45:54.890	-260.54	52.115	-50.26	-1.251232	0.656116	0.836676	0.2595	-0.366	-0.009	0	1259	548	5
2026-02-19	12:45:54.910	-291.165	-18.48	8.505	-1.291736	0.818864	1.146556	0.2745	-0.3345	-0.0405	0	1259	548	5
2026-02-19	12:45:54.930	-353.675	22.435	65.1	-1.314916	0.77714	1.0736	0.273	-0.3	-0.06	0	1259	548	5
2026-02-19	12:45:54.950	-385.035	27.825	95.935	-1.400072	0.630008	0.739808	0.2685	-0.261	-0.0855	0	1259	548	5
2026-02-19	12:45:54.970	-469.14	-125.335	180.705	-1.22	0.728584	0.533872	0.264	-0.21	-0.0975	0	1259	548	5
2026-02-19	12:45:54.990	-595.14	-293.125	218.645	-1.263676	0.605608	0.837164	0.237	-0.1545	-0.1275	0	1259	548	5
2026-02-19	12:45:55.010	-555.205	-204.715	261.8	-1.467904	0.518744	0.753472	0.1875	-0.075	-0.153	0	1213	670	5
2026-02-19	12:45:55.030	-454.3	-28.595	312.375	-1.100684	0.542412	0.573888	0.1515	-0.0015	-0.15	0	1213	670	5
2026-02-19	12:45:55.050	-351.54	-14.7	347.06	-1.0553	0.790316	0.773236	0.147	0.0645	-0.141	0	1213	670	5
2026-02-19	12:45:55.070	-313.04	-41.93	409.85	-1.03456	0.725656	0.703696	0.1725	0.099	-0.114	0	1213	670	5
2026-02-19	12:45:55.090	-346.605	-144.34	458.64	-0.94916	0.449936	0.851316	0.1875	0.129	-0.0885	0	1213	670	5
2026-02-19	12:45:55.110	-451.185	-266.595	450.94	-0.49898	0.05368	0.816668	0.192	0.147	-0.072	0	1213	670	5
2026-02-19	12:45:55.130	-468.16	-267.435	397.25	-0.236436	-0.0427	0.671732	0.1905	0.1815	-0.0525	0	1213	670	5
2026-02-19	12:45:55.150	-334.04	-201.6	203.945	-0.122488	-0.133956	0.550464	0.1875	0.225	-0.0255	0	1213	670	5
2026-02-19	12:45:55.170	-238.595	-173.04	12.355	-0.47824	-0.153476	0.502396	0.18	0.2445	0	0	1213	670	5
2026-02-19	12:45:55.190	-348.005	-272.51	-74.2	-0.46726	-0.233996	0.521916	0.1695	0.2775	0.0225	0	1213	670	5
2026-02-19	12:45:55.210	-428.925	-291.69	-144.725	-0.001708	-0.504836	0.948916	0.1275	0.3225	0.057	0	1153	712	5
2026-02-19	12:45:55.230	-541.66	-275.555	-254.415	0.080276	-0.37088	0.7076	0.081	0.36	0.1125	0	1153	712	5
2026-02-19	12:45:55.250	-422.835	-169.82	-437.71	0.071004	-0.336476	0.53436	0.027	0.396	0.1905	0	1153	712	5
2026-02-19	12:45:55.270	-108.395	78.155	-385.595	-0.387716	0.15006	-0.7259	-0.0495	0.411	0.2655	0	1153	712	5
2026-02-19	12:45:55.290	145.775	117.95	-111.755	-0.345992	0.490684	-0.185928	-0.1215	0.393	0.2895	0	1153	712	5
2026-02-19	12:45:55.310	2.625	226.24	89.74	-0.114192	0.08686399	-0.211304	-0.15	0.378	0.2625	0	1153	712	5
2026-02-19	12:45:55.330	-70.84	198.38	141.925	-0.260104	-0.815204	-0.228872	-0.1305	0.384	0.2445	0	1153	712	5
2026-02-19	12:45:55.350	-155.085	363.51	149.835	-0.10858	-0.846436	-0.335744	-0.096	0.3975	0.24	0	1153	712	5
