yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:45:54.810	93.59	-44.03	67.34	1.004304	-0.533628	0.101992	-0.363	0.6945	-0.0825	0	919	260	5
2026-02-19	12:45:54.830	112.77	-48.335	75.18	1.091656	-0.542656	0.10126	-0.3555	0.7035	-0.0825	0	919	260	5
2026-02-19	12:45:54.850	123.13	-53.235	87.22	1.144848	-0.582428	0.056608	-0.345	0.72	-0.084	0	919	260	5
2026-02-19	12:45:54.870	146.265	-60.9	102.585	1.24806	-0.629032	-0.004392	-0.3375	0.7365	-0.087	0	919	260	5
2026-02-19	12:45:54.890	185.29	-67.515	120.4	1.331508	-0.575596	0.037576	-0.324	0.7575	-0.093	0	919	260	5
2026-02-19	12:45:54.910	213.605	-74.585	144.83	1.42008	-0.554368	0.091988	-0.3075	0.7785	-0.1035	0	919	260	5
2026-02-19	12:45:54.930	236.67	-75.565	170.17	1.503284	-0.609512	0.16348	-0.2865	0.798	-0.114	0	919	260	5
2026-02-19	12:45:54.950	256.375	-70.42	192.675	1.529636	-0.509472	0.212036	-0.264	0.8235	-0.1365	0	919	260	5
2026-02-19	12:45:54.970	263.76	-55.825	209.545	1.533296	-0.447984	0.305976	-0.2385	0.8475	-0.159	0	919	260	5
2026-02-19	12:45:54.990	265.825	-29.82	224	1.413492	-0.565592	0.226432	-0.225	0.858	-0.168	0	919	260	5
2026-02-19	12:45:55.010	245.735	-16.345	230.825	1.344928	-0.641476	0.136884	-0.225	0.858	-0.168	0	899	233	5
2026-02-19	12:45:55.030	199.01	-3.745	227.29	1.2444	-0.543144	0.14396	-0.1275	0.894	-0.2535	0	899	233	5
2026-02-19	12:45:55.050	164.605	5.635	217.91	1.10044	-0.588528	0.1952	-0.111	0.9015	-0.2685	0	899	233	5
2026-02-19	12:45:55.070	140.14	3.08	216.965	0.970388	-0.542412	0.107848	-0.0765	0.9105	-0.2955	0	899	233	5
2026-02-19	12:45:55.090	109.2	-4.76	210.595	0.90768	-0.321592	0.071492	-0.0405	0.915	-0.3165	0	899	233	5
