yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:45:54.810	49.42	103.355	-89.495	1.095804	0.105896	0.335256	-0.684	0.513	0.222	0	1068	409	5
2026-02-19	12:45:54.830	30.59	105.07	-95.83	1.20048	-0.000244	0.365756	-0.6705	0.504	0.2055	0	1068	409	5
2026-02-19	12:45:54.850	13.335	111.3	-98.735	1.256844	-0.034648	0.37454	-0.663	0.489	0.195	0	1068	409	5
2026-02-19	12:45:54.870	9.765	121.065	-108.36	1.24196	0.002928	0.334524	-0.648	0.471	0.18	0	1068	409	5
2026-02-19	12:45:54.890	19.845	122.605	-112.56	1.270752	-0.010736	0.306708	-0.627	0.4605	0.162	0	1068	409	5
2026-02-19	12:45:54.910	36.365	125.86	-111.72	1.281976	-0.0793	0.340868	-0.612	0.4455	0.1485	0	1068	409	5
2026-02-19	12:45:54.930	49.945	130.655	-110.67	1.208288	-0.056364	0.344284	-0.5955	0.4275	0.1365	0	1068	409	5
2026-02-19	12:45:54.950	54.53	129.22	-110.355	1.134356	-0.027084	0.317932	-0.5745	0.414	0.1245	0	1068	409	5
2026-02-19	12:45:54.970	48.44	117.67	-103.67	1.040416	-0.016592	0.266448	-0.564	0.4095	0.117	0	1068	409	5
2026-02-19	12:45:54.990	41.16	108.185	-95.97	0.994056	-0.025132	0.287188	-0.564	0.4095	0.117	0	1068	409	5
2026-02-19	12:45:55.010	38.78	98.14	-85.75	0.917928	-0.04148	0.286212	-0.4935	0.3585	0.09	0	1045	423	5
2026-02-19	12:45:55.030	45.255	86.835	-74.76	0.855464	-0.044164	0.285968	-0.48	0.345	0.0885	0	1045	423	5
2026-02-19	12:45:55.050	48.93	73.99	-62.09	0.813252	-0.01708	0.264496	-0.459	0.3465	0.09	0	1045	423	5
2026-02-19	12:45:55.070	47.635	59.675	-46.445	0.778116	-0.001952	0.248636	-0.45	0.342	0.0915	0	1045	423	5
2026-02-19	12:45:55.090	44.135	45.045	-28.245	0.728584	0.000732	0.236192	-0.4365	0.3195	0.09	0	1045	423	5
