activity,wrist,precision,recall,f1,accuracy,num_windows
Free_Hendrik,right,0.0,0.0,0.0,0.0,8466
Free_Hendrik,left,0.0,0.0,0.0,0.0,8466
Free_Tanya,right,0.0,0.0,0.0,0.0,6991
Free_Tanya,left,0.0,0.0,0.0,0.0,6991
Stairs_pockets_Hendrik,right,1.0,1.0,1.0,1.0,115
Stairs_pockets_Hendrik,left,1.0,1.0,1.0,1.0,115
Stairs_pockets_Tanya,right,1.0,1.0,1.0,1.0,105
Stairs_pockets_Tanya,left,1.0,1.0,1.0,1.0,105
Stairs_railL_Hendrik,right,1.0,1.0,1.0,1.0,105
Stairs_railL_Hendrik,left,1.0,1.0,1.0,1.0,105
Stairs_railL_Tanya,right,1.0,1.0,1.0,1.0,151
Stairs_railL_Tanya,left,1.0,1.0,1.0,1.0,151
Stairs_railR_Hendrik,right,1.0,1.0,1.0,1.0,109
Stairs_railR_Hendrik,left,1.0,1.0,1.0,1.0,109
Stairs_railR_Tanya,right,1.0,1.0,1.0,1.0,140
Stairs_railR_Tanya,left,1.0,1.0,1.0,1.0,140
Walking_armfixedL_Hendrik,right,1.0,1.0,1.0,1.0,126
Walking_armfixedL_Hendrik,left,1.0,1.0,1.0,1.0,126
Walking_armfixedL_Tanya,right,1.0,1.0,1.0,1.0,140
Walking_armfixedL_Tanya,left,1.0,1.0,1.0,1.0,140
Walking_armfixedR_Hendrik,right,1.0,1.0,1.0,1.0,119
Walking_armfixedR_Hendrik,left,1.0,1.0,1.0,1.0,119
Walking_armfixedR_Tanya,right,1.0,1.0,1.0,1.0,145
Walking_armfixedR_Tanya,left,1.0,1.0,1.0,1.0,145
Walking_caneL_Hendrik,right,1.0,1.0,1.0,1.0,101
Walking_caneL_Hendrik,left,1.0,1.0,1.0,1.0,101
Walking_caneL_Tanya,right,1.0,1.0,1.0,1.0,98
Walking_caneL_Tanya,left,1.0,1.0,1.0,1.0,98
Walking_caneR_Hendrik,right,1.0,1.0,1.0,1.0,105
Walking_caneR_Hendrik,left,1.0,1.0,1.0,1.0,105
Walking_caneR_Tanya,right,1.0,1.0,1.0,1.0,89
Walking_caneR_Tanya,left,1.0,1.0,1.0,1.0,89
Walking_crutches_Hendrik,right,1.0,1.0,1.0,1.0,83
Walking_crutches_Hendrik,left,1.0,1.0,1.0,1.0,83
Walking_crutches_Tanya,right,1.0,1.0,1.0,1.0,88
Walking_crutches_Tanya,left,1.0,1.0,1.0,1.0,88
Walking_limpL_Hendrik,right,1.0,1.0,1.0,1.0,123
Walking_limpL_Hendrik,left,1.0,1.0,1.0,1.0,123
Walking_limpL_Tanya,right,1.0,1.0,1.0,1.0,150
Walking_limpL_Tanya,left,1.0,1.0,1.0,1.0,150
Walking_limpR_Hendrik,right,1.0,1.0,1.0,1.0,126
Walking_limpR_Hendrik,left,1.0,1.0,1.0,1.0,126
Walking_limpR_Tanya,right,1.0,1.0,1.0,1.0,141
Walking_limpR_Tanya,left,1.0,1.0,1.0,1.0,141
Walking_phoneB_Hendrik,right,1.0,1.0,1.0,1.0,101
Walking_phoneB_Hendrik,left,1.0,1.0,1.0,1.0,101
Walking_phoneB_Tanya,right,1.0,1.0,1.0,1.0,91
Walking_phoneB_Tanya,left,1.0,1.0,1.0,1.0,91
Walking_phoneL_Hendrik,right,1.0,1.0,1.0,1.0,105
Walking_phoneL_Hendrik,left,1.0,1.0,1.0,1.0,105
Walking_phoneL_Tanya,right,1.0,1.0,1.0,1.0,97
Walking_phoneL_Tanya,left,1.0,1.0,1.0,1.0,97
Walking_phoneR_Hendrik,right,1.0,1.0,1.0,1.0,115
Walking_phoneR_Hendrik,left,1.0,1.0,1.0,1.0,115
Walking_phoneR_Tanya,right,1.0,1.0,1.0,1.0,99
Walking_phoneR_Tanya,left,1.0,1.0,1.0,1.0,99
Walking_pockets_Hendrik,right,1.0,1.0,1.0,1.0,118
Walking_pockets_Hendrik,left,1.0,1.0,1.0,1.0,118
Walking_pockets_Tanya,right,1.0,1.0,1.0,1.0,94
Walking_pockets_Tanya,left,1.0,1.0,1.0,1.0,94
Walking_walker_Hendrik,right,1.0,1.0,1.0,1.0,93
Walking_walker_Hendrik,left,1.0,1.0,1.0,1.0,93
Walking_walker_Tanya,right,1.0,1.0,1.0,1.0,96
Walking_walker_Tanya,left,1.0,1.0,1.0,1.0,96
