subject,activity,wrist,precision,recall,f1,accuracy
Tanya,test1,right,0.5053892215568863,0.6098265895953757,0.5527177472167649,0.5437541750167001
Tanya,test1,left,0.493953488372093,0.7673410404624278,0.601018675721562,0.5290581162324649
Tanya,test3,right,0.5640287769784172,0.7983706720977597,0.6610455311973018,0.6267409470752089
Tanya,test3,left,0.7054908485856906,0.8635437881873728,0.7765567765567766,0.7734447539461468
Hendrik,test4,right,0.6403269754768393,0.91796875,0.7544141252006421,0.757527733755943
Hendrik,test4,left,0.7331378299120235,0.9765625,0.8375209380234506,0.8462757527733756
Tanya,test5,right,0.5340909090909091,0.7580645161290323,0.6266666666666667,0.5781544256120528
Tanya,test5,left,0.5230263157894737,0.6411290322580645,0.5760869565217391,0.559322033898305
Tanya,test6,right,0.36792452830188677,0.5909090909090909,0.45348837209302323,0.6328125
Tanya,test6,left,0.416,0.7878787878787878,0.5445026178010471,0.66015625
Tanya,test7,right,0.46601941747572817,0.7272727272727273,0.5680473372781065,0.6157894736842106
Tanya,test7,left,0.5522388059701493,0.5606060606060606,0.556390977443609,0.6894736842105263
Hendrik,test8,right,0.6666666666666666,0.8787878787878788,0.7581699346405228,0.8603773584905661
Hendrik,test8,left,0.6176470588235294,0.9545454545454546,0.75,0.8415094339622642
Hendrik,test9,right,0.7105263157894737,0.8181818181818182,0.7605633802816901,0.8380952380952381
Hendrik,test9,left,0.8076923076923077,0.6461538461538462,0.717948717948718,0.8413461538461539
