subject,activity,wrist,precision,recall,f1,accuracy
Hendrik,test10,right,1.0,1.0,1.0,1.0
Hendrik,test10,left,0.8373015873015873,0.8828451882845189,0.8594704684317719,0.8628230616302187
Hendrik,test11,right,0.9986631016042781,0.9777486910994765,0.9880952380952381,0.9873861247372109
Hendrik,test11,left,1.0,1.0,1.0,1.0
Tanya,test1,right,1.0,1.0,1.0,1.0
Tanya,test1,left,1.0,1.0,1.0,1.0
Tanya,test3,right,1.0,1.0,1.0,1.0
Tanya,test3,left,1.0,1.0,1.0,1.0
Hendrik,test4,right,1.0,1.0,1.0,1.0
Hendrik,test4,left,1.0,1.0,1.0,1.0
Tanya,test5,right,1.0,1.0,1.0,1.0
Tanya,test5,left,0.9588477366255144,0.9628099173553719,0.9608247422680413,0.9643527204502814
Tanya,test6,right,1.0,1.0,1.0,1.0
Tanya,test6,left,1.0,1.0,1.0,1.0
Tanya,test7,right,1.0,1.0,1.0,1.0
Tanya,test7,left,1.0,1.0,1.0,1.0
Hendrik,test8,right,1.0,1.0,1.0,1.0
Hendrik,test8,left,1.0,1.0,1.0,1.0
Hendrik,test9,right,1.0,1.0,1.0,1.0
Hendrik,test9,left,1.0,1.0,1.0,1.0
