"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn66527924","WHC018_FreeWalk.csv","1","text/csv","39560881","3474226","1747354710336","3474226","1747354710336","syn63099015","https://www.synapse.org/#!Synapse:syn66527924.1","0e68b20c0d8203e458ddbbf02650ee70"
"syn63099016","WHC014_FreeWalk.csv","1","text/csv","43815490","3474226","1725975300063","3474226","1725975300063","syn63099015","https://www.synapse.org/#!Synapse:syn63099016.1","03ffc492d7435502cf2b780d0bce26d0"
"syn66527926","WHC017_FreeWalk.csv","1","text/csv","45826526","3474226","1747354723891","3474226","1747354723891","syn63099015","https://www.synapse.org/#!Synapse:syn66527926.1","0220c96e7cf16801aafefc0bfd5de3a1"
"syn66527925","WHC015_FreeWalk.csv","1","text/csv","45845280","3474226","1747354721057","3474226","1747354721057","syn63099015","https://www.synapse.org/#!Synapse:syn66527925.1","bdca0c23eeaf8f80821499e1a55b35ac"
"syn66527943","WHC033_FreeWalk.csv","1","text/csv","48068310","3474226","1747354808323","3474226","1747354808323","syn63099015","https://www.synapse.org/#!Synapse:syn66527943.1","1022b76675523510cf87696e15973e4f"
"syn66527934","WHC022_FreeWalk.csv","1","text/csv","50696622","3474226","1747354765769","3474226","1747354765769","syn63099015","https://www.synapse.org/#!Synapse:syn66527934.1","483527dc36294909b60938ad0aafb68b"
"syn66527927","NLS207 (control)_FreeWalk.csv","1","text/csv","53222497","3474226","1747354727005","3474226","1747354727005","syn63099015","https://www.synapse.org/#!Synapse:syn66527927.1","84558ed6bf9de3a3df9fdbbe5276f423"
"syn66527932","WHC020_FreeWalk.csv","1","text/csv","53496147","3474226","1747354755815","3474226","1747354755815","syn63099015","https://www.synapse.org/#!Synapse:syn66527932.1","9bb2a55744af153f66c092f5d29b9f24"
"syn66527942","WHC032_FreeWalk.csv","1","text/csv","54523962","3474226","1747354805730","3474226","1747354805730","syn63099015","https://www.synapse.org/#!Synapse:syn66527942.1","900bdca55938501a9b0e205854aa9f80"
"syn66527929","WHC019_FreeWalk.csv","1","text/csv","55369528","3474226","1747354736248","3474226","1747354736248","syn63099015","https://www.synapse.org/#!Synapse:syn66527929.1","7153937076422eb8a3f31862367a5c92"
"syn66527928","NLS193 (control)_FreeWalk.csv","1","text/csv","55714458","3474226","1747354734725","3474226","1747354734725","syn63099015","https://www.synapse.org/#!Synapse:syn66527928.1","1a90a4d6c6493c8a1f3919648c6c2ab8"
"syn66527935","WHC024_FreeWalk.csv","1","text/csv","56267344","3474226","1747354769346","3474226","1747354769346","syn63099015","https://www.synapse.org/#!Synapse:syn66527935.1","bd58a6c8e585bf635b9a921899d4d84c"
"syn66527940","WHC030_FreeWalk.csv","1","text/csv","56489596","3474226","1747354795292","3474226","1747354795292","syn63099015","https://www.synapse.org/#!Synapse:syn66527940.1","14c5e9c4bd6a08b4816d0c4eda6c6d2d"
"syn66527933","WHC021_FreeWalk.csv","1","text/csv","56899925","3474226","1747354760633","3474226","1747354760633","syn63099015","https://www.synapse.org/#!Synapse:syn66527933.1","969b335242d96cd67f2ff87d89d89fe7"
"syn66527939","WHC029_FreeWalk.csv","1","text/csv","58951600","3474226","1747354791242","3474226","1757599429040","syn63099015","https://www.synapse.org/#!Synapse:syn66527939.1","5ac612f6306c5dc6099a20282aba50de"
"syn66527937","WHC026_FreeWalk.csv","1","text/csv","59604207","3474226","1747354779919","3474226","1747354779919","syn63099015","https://www.synapse.org/#!Synapse:syn66527937.1","8aeffd9c74a421a8e53b5738a89fe0c0"
"syn66527938","WHC027_FreeWalk.csv","1","text/csv","63166772","3474226","1747354785321","3474226","1747354785321","syn63099015","https://www.synapse.org/#!Synapse:syn66527938.1","fd58ce1f4486681f1f4cf1242fe098fc"
"syn66527930","WHC016_FreeWalk.csv","1","text/csv","63929866","3474226","1747354740900","3474226","1747354740900","syn63099015","https://www.synapse.org/#!Synapse:syn66527930.1","8b9d33f59f67c6067f8efc61f6a2e545"
"syn66527936","WHC025_FreeWalk.csv","1","text/csv","64363825","3474226","1747354775166","3474226","1747354775166","syn63099015","https://www.synapse.org/#!Synapse:syn66527936.1","ecf8e6cbcda8826be2201c80c319f08a"
