dataset,subject,wrist,precision,recall,f1,accuracy
WISDM,data_1600_accel_watch,right,0.15170670037926676,1.0,0.26344676180021953,0.3847799511002445
WISDM,data_1601_accel_watch,right,0.19019396551724138,0.9805555555555555,0.3185920577617328,0.5339506172839507
WISDM,data_1602_accel_watch,right,0.1593625498007968,1.0,0.27491408934707906,0.41533251231527096
WISDM,data_1603_accel_watch,right,0.16697588126159554,1.0,0.2861685214626391,0.446020974706971
WISDM,data_1604_accel_watch,right,0.15037593984962405,1.0,0.26143790849673204,0.37299630086313196
WISDM,data_1605_accel_watch,right,0.15260869565217391,0.975,0.2639097744360902,0.40810157194679564
WISDM,data_1606_accel_watch,right,0.13893188854489164,0.9972222222222222,0.24388586956521738,0.3135985198889917
WISDM,data_1607_accel_watch,right,0.16084229390681004,0.9972222222222222,0.2770061728395062,0.43039513677811553
WISDM,data_1608_accel_watch,right,0.1665884561238855,0.9861111111111112,0.28502609393817746,0.477406103286385
WISDM,data_1609_accel_watch,right,0.12686567164179105,0.9916666666666667,0.22495274102079396,0.29330652111462224
WISDM,data_1610_accel_watch,right,0.17359767891682784,0.9972222222222222,0.2957166392092257,0.47287299630086316
WISDM,data_1611_accel_watch,right,0.14722911497105046,0.9888888888888889,0.25629949604031677,0.3629355534998458
WISDM,data_1612_accel_watch,right,0.14654113794514942,0.9944444444444445,0.2554405993578309,0.36040453570334047
WISDM,data_1613_accel_watch,right,0.16328413284132842,0.9833333333333333,0.2800632911392405,0.43861813695249846
WISDM,data_1614_accel_watch,right,0.14510278113663846,0.997229916897507,0.2533427163969036,0.3454657618753856
WISDM,data_1615_accel_watch,right,0.16822429906542055,1.0,0.288,0.45129469790382243
WISDM,data_1616_accel_watch,right,0.18288934426229508,0.9916666666666667,0.3088235294117647,0.4782892588965067
WISDM,data_1617_accel_watch,right,0.14920224234583873,0.9611111111111111,0.25830533781261666,0.40668856375037327
WISDM,data_1618_accel_watch,right,0.198943661971831,0.9416666666666667,0.32848837209302323,0.5475024485798237
WISDM,data_1619_accel_watch,right,0.16084229390681004,0.9972222222222222,0.2770061728395062,0.42196175200493524
WISDM,data_1620_accel_watch,right,0.13041894353369762,0.9944444444444445,0.23059581320450886,0.2885646217986897
WISDM,data_1621_accel_watch,right,0.12866333095067906,1.0,0.2279924002533249,0.3165124754695823
WISDM,data_1622_accel_watch,right,0.1570611526616806,0.9916666666666667,0.2711735662742119,0.40826395312981806
WISDM,data_1623_accel_watch,right,0.15306122448979592,1.0,0.26548672566371684,0.38556446637877856
WISDM,data_1624_accel_watch,right,0.14793388429752066,0.9944444444444445,0.25755395683453236,0.420550252667041
WISDM,data_1625_accel_watch,right,0.15661605206073753,1.0,0.27081770442610653,0.4169166166766647
WISDM,data_1626_accel_watch,right,0.15237691001697792,0.9972222222222222,0.26435935198821797,0.406064209274673
WISDM,data_1627_accel_watch,right,0.143262987012987,0.9805555555555555,0.25,0.34690101757631825
WISDM,data_1628_accel_watch,right,0.1634135270086246,1.0,0.28092079594225516,0.47612279704377486
WISDM,data_1629_accel_watch,right,0.16608350828084908,0.9888888888888889,0.28440183742760133,0.44783479734936044
WISDM,data_1630_accel_watch,right,0.1532501076194576,0.9888888888888889,0.2653745806932538,0.39222941720629045
WISDM,data_1631_accel_watch,right,0.1614208633093525,0.9972222222222222,0.27786377708978327,0.4246068455134135
WISDM,data_1632_accel_watch,right,0.1520912547528517,1.0,0.264026402640264,0.3811285846438483
WISDM,data_1633_accel_watch,right,0.18036072144288579,1.0,0.30560271646859083,0.4955288313290163
WISDM,data_1634_accel_watch,right,0.1575492341356674,1.0,0.2722117202268431,0.406596794081381
WISDM,data_1635_accel_watch,right,0.14143426294820718,0.9861111111111112,0.24738675958188153,0.333950046253469
WISDM,data_1636_accel_watch,right,0.1464009760065067,1.0,0.2554097197587797,0.3527597903176072
WISDM,data_1637_accel_watch,right,0.2965331538202625,0.9876681614349776,0.45612218483044265,0.7232248715584244
WISDM,data_1638_accel_watch,right,0.384212821631051,0.986562150055991,0.5530445699937225,0.8228415028614083
WISDM,data_1639_accel_watch,right,0.1875,0.992152466367713,0.31539558089807557,0.49387432485838495
WISDM,data_1640_accel_watch,right,0.3830715532286213,0.9832026875699889,0.5513343799058085,0.8222194575765116
WISDM,data_1641_accel_watch,right,0.16085790884718498,1.0,0.27713625866050806,0.4203703703703704
WISDM,data_1642_accel_watch,right,0.08801955990220049,1.0,0.16179775280898875,0.3795741849634065
WISDM,data_1643_accel_watch,right,0.17420924574209246,0.9944444444444445,0.29648033126293993,0.4756172839506173
WISDM,data_1644_accel_watch,right,0.13143071723619978,0.9722222222222222,0.23155805491233875,0.33930602957906714
WISDM,data_1645_accel_watch,right,0.1752010156580618,0.8846153846153846,0.29247615683504063,0.40792196275495124
WISDM,data_1646_accel_watch,right,0.15136054421768708,0.9888888888888889,0.26253687315634217,0.3825254708243285
WISDM,data_1647_accel_watch,right,0.14997905320485966,0.9944444444444445,0.2606479796141245,0.3798473282442748
WISDM,data_1648_accel_watch,right,0.2005586592178771,0.9972222222222222,0.33395348837209304,0.5580246913580247
WISDM,data_1649_accel_watch,right,0.14342788653615662,0.9972222222222222,0.2507858889276982,0.34141848326680996
WISDM,data_1650_accel_watch,right,0.17523975588491716,0.8973214285714286,0.29321663019693656,0.4176682692307692
WearGait,NLS035_FreeWalk,right,0.9072847682119205,0.9716312056737588,0.9383561643835616,0.898876404494382
WearGait,NLS035_FreeWalk,left,0.875,0.95,0.910958904109589,0.8539325842696629
WearGait,NLS101_FreeWalk,right,0.6683168316831684,0.9926470588235294,0.7988165680473372,0.6977777777777778
WearGait,NLS101_FreeWalk,left,0.7,0.9779411764705882,0.8159509202453987,0.7333333333333333
WearGait,NLS187_FreeWalk,right,0.9081081081081082,0.9767441860465116,0.9411764705882353,0.908695652173913
WearGait,NLS187_FreeWalk,left,0.8704663212435233,0.9767441860465116,0.9205479452054794,0.8739130434782608
WearGait,NLS188_FreeWalk,right,0.9452054794520548,0.9261744966442953,0.9355932203389831,0.9040404040404041
WearGait,NLS188_FreeWalk,left,0.8361581920903954,0.9932885906040269,0.9079754601226994,0.8484848484848485
WearGait,NLS189_FreeWalk,right,0.8571428571428571,0.8344370860927153,0.8456375838926175,0.7899543378995434
WearGait,NLS189_FreeWalk,left,0.8197674418604651,0.9337748344370861,0.8730650154798761,0.8127853881278538
WearGait,NLS190_FreeWalk,right,0.9172932330827067,0.9384615384615385,0.9277566539923955,0.8967391304347826
WearGait,NLS190_FreeWalk,left,0.9197080291970803,0.9692307692307692,0.9438202247191011,0.9184782608695652
WearGait,NLS191_FreeWalk,right,0.9226190476190477,0.9451219512195121,0.9337349397590361,0.897196261682243
WearGait,NLS191_FreeWalk,left,0.875,0.9817073170731707,0.9252873563218391,0.8785046728971962
WearGait,NLS192_FreeWalk,right,0.8701298701298701,0.950354609929078,0.9084745762711864,0.8601036269430051
WearGait,NLS192_FreeWalk,left,0.8657718120805369,0.9148936170212766,0.8896551724137931,0.8341968911917098
WearGait,NLS194_FreeWalk,right,0.9205298013245033,0.9586206896551724,0.9391891891891891,0.9076923076923077
WearGait,NLS194_FreeWalk,left,0.9241379310344827,0.9241379310344827,0.9241379310344827,0.8871794871794871
WearGait,NLS195_FreeWalk,right,0.9,0.9,0.9,0.8602150537634409
WearGait,NLS195_FreeWalk,left,0.8552631578947368,1.0,0.9219858156028369,0.8817204301075269
WearGait,NLS196_FreeWalk,right,0.8507462686567164,0.890625,0.8702290076335878,0.796812749003984
WearGait,NLS196_FreeWalk,left,0.8205128205128205,1.0,0.9014084507042254,0.8326693227091634
