ID,Subject,Wrist,Accuracy,Precision,Recall,F1,Steps,TP,TN,FP,FN
test1_Tanya_Right,test1_Tanya,Right,0.926269201477202,0.951698113207547,0.867531216676413,0.907667668388188,530,25220,39240,1280,3851
test1_Tanya_Left,test1_Tanya,Left,0.935178399505683,0.969407265774379,0.872303086610922,0.918295267247469,523,25350,39730,800,3711
test3_Tanya_Right,test3_Tanya,Right,0.931201711198392,0.981941309255079,0.867190303416929,0.921005271961212,443,21750,28750,400,3331
test3_Tanya_Left,test3_Tanya,Left,0.897088381184194,0.977941176470588,0.795422830030701,0.877289417558981,408,19950,28700,450,5131
test4_Hendrik_Right,test4_Hendrik,Right,0.787534079157657,0.737549407114624,0.729476153244722,0.733490566037736,253,9330,15801,3320,3460
test4_Hendrik_Left,test4_Hendrik,Left,0.905048415906741,0.874329501915709,0.89140625,0.882785299806576,261,11410,17471,1640,1390
Laptop_Hendrik_Right,Laptop_Hendrik,Right,1,NaN,NaN,NaN,0,0,6771,0,0
Laptop_Hendrik_Left,Laptop_Hendrik,Left,1,NaN,NaN,NaN,0,0,6771,0,0
Laptop_tanya_Right,Laptop_tanya,Right,0.989024256393371,0,NaN,NaN,2,0,9011,100,0
Laptop_tanya_Left,Laptop_tanya,Left,0.994512128196685,0,NaN,NaN,1,0,9061,50,0
Stairs_Hendrik_Right,Stairs_Hendrik,Right,0.9882284551664,1,0.9882284551664,0.994079380162269,136,6800,0,0,81
Stairs_Hendrik_Left,Stairs_Hendrik,Left,0.944630140967883,1,0.944630140967883,0.971526791719602,130,6500,0,0,381
Stairs_tanya_Right,Stairs_tanya,Right,0.725294650951949,1,0.725294650951949,0.840777719390436,112,5600,0,0,2121
Stairs_tanya_Left,Stairs_tanya,Left,0.699391270560808,1,0.699391270560808,0.823107994817468,108,5400,0,0,2321
Standing_Hendrik_Right,Standing_Hendrik,Right,0.962411667418433,0,NaN,NaN,5,0,6401,250,0
Standing_Hendrik_Left,Standing_Hendrik,Left,0.95489400090212,0,NaN,NaN,6,0,6351,300,0
Standing_tanya_Right,Standing_tanya,Right,1,NaN,NaN,NaN,0,0,5381,0,0
Standing_tanya_Left,Standing_tanya,Left,1,NaN,NaN,NaN,0,0,5381,0,0
Walking_Hendrik_Right,Walking_Hendrik,Right,0.763712103679704,1,0.763712103679704,0.866028080304422,66,3300,0,0,1021
Walking_Hendrik_Left,Walking_Hendrik,Left,0.694283730617912,1,0.694283730617912,0.819560169375768,60,3000,0,0,1321
Walking_Tanya_Right,Walking_Tanya,Right,0.914580003551767,1,0.914580003551767,0.955384472683425,103,5150,0,0,481
Walking_Tanya_Left,Walking_Tanya,Left,0.985615343633458,1,0.985615343633458,0.992755567480547,111,5550,0,0,81
Free_Hendrik_Right,Free_Hendrik,Right,0.97560061387441,0,NaN,NaN,207,0,413841,10350,0
Free_Hendrik_Left,Free_Hendrik,Left,0.992338357013704,0,NaN,NaN,65,0,420941,3250,0
Free_Tanya_Right,Free_Tanya,Right,0.992009155225014,0,NaN,NaN,56,0,347601,2800,0
Free_Tanya_Left,Free_Tanya,Left,0.993150704478583,0,NaN,NaN,48,0,348001,2400,0
Stairs_pockets_Hendrik_Right,Stairs_pockets_Hendrik,Right,0.831946755407654,1,0.831946755407654,0.908265213442325,110,5500,0,0,1111
Stairs_pockets_Hendrik_Left,Stairs_pockets_Hendrik,Left,0.824383603085766,1,0.824383603085766,0.903739325097421,109,5450,0,0,1161
