ID,Subject,Wrist,Accuracy,Precision,Recall,F1,Steps,TP,TN,FP,FN
Free_Hendrik_Right,Free_Hendrik,Right,0.975398250552749,0,1,0,207,0,413365,10426,0
Free_Hendrik_Left,Free_Hendrik,Left,0.994516164807653,0,1,0,46,0,421467,2324,0
Free_Tanya_Right,Free_Tanya,Right,0.989608601118283,0,1,0,72,0,346364,3637,0
Free_Tanya_Left,Free_Tanya,Left,0.99335716183668,0,1,0,46,0,347676,2325,0
Stairs_pockets_Hendrik_Right,Stairs_pockets_Hendrik,Right,0.902270165834809,1,0.902270165834809,0.948624629707998,112,5604,0,0,607
Stairs_pockets_Hendrik_Left,Stairs_pockets_Hendrik,Left,0.814039607148607,1,0.814039607148607,0.8974882399929,101,5056,0,0,1155
Stairs_pockets_Tanya_Right,Stairs_pockets_Tanya,Right,0.918196119559518,1,0.918196119559518,0.957353745215965,105,5253,0,0,468
Stairs_pockets_Tanya_Left,Stairs_pockets_Tanya,Left,0.944240517392064,1,0.944240517392064,0.971320686865054,108,5402,0,0,319
Stairs_railL_Hendrik_Right,Stairs_railL_Hendrik,Right,0.890595009596929,1,0.890595009596929,0.942131979695431,102,5104,0,0,627
Stairs_railL_Hendrik_Left,Stairs_railL_Hendrik,Left,0.682079916244983,1,0.682079916244983,0.810995850622407,78,3909,0,0,1822
Stairs_railL_Tanya_Right,Stairs_railL_Tanya,Right,0.92192753081808,1,0.92192753081808,0.959378036929057,148,7404,0,0,627
Stairs_railL_Tanya_Left,Stairs_railL_Tanya,Left,0.605279541775619,1,0.605279541775619,0.754111076636674,97,4861,0,0,3170
Stairs_railR_Hendrik_Right,Stairs_railR_Hendrik,Right,0.624642316108399,1,0.624642316108399,0.768959801077497,74,3711,0,0,2230
Stairs_railR_Hendrik_Left,Stairs_railR_Hendrik,Left,0.917858946305336,1,0.917858946305336,0.957170440582763,109,5453,0,0,488
Stairs_railR_Tanya_Right,Stairs_railR_Tanya,Right,0.695501268188493,1,0.695501268188493,0.820407841902212,104,5210,0,0,2281
Stairs_railR_Tanya_Left,Stairs_railR_Tanya,Left,0.908289947937525,1,0.908289947937525,0.951941238195173,136,6804,0,0,687
Walking_armfixedL_Hendrik_Right,Walking_armfixedL_Hendrik,Right,0.974892925712598,1,0.974892925712598,0.987286868082561,132,6601,0,0,170
Walking_armfixedL_Hendrik_Left,Walking_armfixedL_Hendrik,Left,0.974892925712598,1,0.974892925712598,0.987286868082561,132,6601,0,0,170
Walking_armfixedL_Tanya_Right,Walking_armfixedL_Tanya,Right,0.938614126792655,1,0.938614126792655,0.96833517699115,140,7003,0,0,458
Walking_armfixedL_Tanya_Left,Walking_armfixedL_Tanya,Left,0.938614126792655,1,0.938614126792655,0.96833517699115,140,7003,0,0,458
Walking_armfixedR_Hendrik_Right,Walking_armfixedR_Hendrik,Right,0.972010573783237,1,0.972010573783237,0.985806655101719,125,6251,0,0,180
Walking_armfixedR_Hendrik_Left,Walking_armfixedR_Hendrik,Left,0.972010573783237,1,0.972010573783237,0.985806655101719,125,6251,0,0,180
Walking_armfixedR_Tanya_Right,Walking_armfixedR_Tanya,Right,0.805083646738426,1,0.805083646738426,0.892018104748904,124,6208,0,0,1503
Walking_armfixedR_Tanya_Left,Walking_armfixedR_Tanya,Left,0.946958889897549,1,0.946958889897549,0.972756943981882,146,7302,0,0,409
Walking_caneL_Hendrik_Right,Walking_caneL_Hendrik,Right,0.136884202872205,1,0.136884202872205,0.24080588423409,15,753,0,0,4748
Walking_caneL_Hendrik_Left,Walking_caneL_Hendrik,Left,0.66515179058353,1,0.66515179058353,0.798908296943231,73,3659,0,0,1842
Walking_caneL_Tanya_Right,Walking_caneL_Tanya,Right,0.0845280208527276,1,0.0845280208527276,0.15587982832618,9,454,0,0,4917
Walking_caneL_Tanya_Left,Walking_caneL_Tanya,Left,0.215602308694843,1,0.215602308694843,0.354725072752336,23,1158,0,0,4213
Walking_caneR_Hendrik_Right,Walking_caneR_Hendrik,Right,0.517217269708093,1,0.517217269708093,0.681797235023041,59,2959,0,0,2762
Walking_caneR_Hendrik_Left,Walking_caneR_Hendrik,Left,0.0702674357629785,1,0.0702674357629785,0.131308182263596,8,402,0,0,5319
Walking_caneR_Tanya_Right,Walking_caneR_Tanya,Right,0.102813195709371,1,0.102813195709371,0.186456230501009,10,508,0,0,4433
Walking_caneR_Tanya_Left,Walking_caneR_Tanya,Left,0.0206435944140862,1,0.0206435944140862,0.0404521118381916,2,102,0,0,4839
Walking_crutches_Hendrik_Right,Walking_crutches_Hendrik,Right,0.658478776125835,1,0.658478776125835,0.794075613875536,61,3056,0,0,1585
Walking_crutches_Hendrik_Left,Walking_crutches_Hendrik,Left,0.733893557422969,1,0.733893557422969,0.846526655896607,68,3406,0,0,1235
Walking_crutches_Tanya_Right,Walking_crutches_Tanya,Right,0.124309957063995,1,0.124309957063995,0.221131114748136,12,608,0,0,4283
Walking_crutches_Tanya_Left,Walking_crutches_Tanya,Left,0.297485176855449,1,0.297485176855449,0.45855657106839,29,1455,0,0,3436
Walking_limpL_Hendrik_Right,Walking_limpL_Hendrik,Right,0.974324120223531,1,0.974324120223531,0.986995104039168,129,6451,0,0,170
Walking_limpL_Hendrik_Left,Walking_limpL_Hendrik,Left,0.974324120223531,1,0.974324120223531,0.986995104039168,129,6451,0,0,170
Walking_limpL_Tanya_Right,Walking_limpL_Tanya,Right,0.885083427424413,1,0.885083427424413,0.939038999068282,141,7055,0,0,916
Walking_limpL_Tanya_Left,Walking_limpL_Tanya,Left,0.716472211767658,1,0.716472211767658,0.834819470837597,114,5711,0,0,2260
Walking_limpR_Hendrik_Right,Walking_limpR_Hendrik,Right,0.862317773523781,1,0.862317773523781,0.926069423578714,117,5856,0,0,935
Walking_limpR_Hendrik_Left,Walking_limpR_Hendrik,Left,0.950080989544986,1,0.950080989544986,0.974401570641093,129,6452,0,0,339
Walking_limpR_Tanya_Right,Walking_limpR_Tanya,Right,0.896959235161333,1,0.896959235161333,0.945681086378272,135,6755,0,0,776
Walking_limpR_Tanya_Left,Walking_limpR_Tanya,Left,0.883680786084185,1,0.883680786084185,0.938248977865501,133,6655,0,0,876
Walking_phoneB_Hendrik_Right,Walking_phoneB_Hendrik,Right,0.316910304999098,1,0.316910304999098,0.481293682335206,35,1756,0,0,3785
Walking_phoneB_Hendrik_Left,Walking_phoneB_Hendrik,Left,0.632918245804006,1,0.632918245804006,0.775198938992042,70,3507,0,0,2034
