ID,Subject,Wrist,Accuracy,Precision,Recall,F1,Steps,TP,TN,FP,FN
Free_Hendrik_Right,Free_Hendrik,Right,0.923429237525101,0,1,0,1,0,391341,32450,0
Free_Hendrik_Left,Free_Hendrik,Left,0.934519609902051,0,1,0,1,0,396041,27750,0
Free_Tanya_Right,Free_Tanya,Right,0.913857388978889,0,1,0,1,0,319851,30150,0
Free_Tanya_Left,Free_Tanya,Left,0.910000257142122,0,1,0,1,0,318501,31500,0
Stairs_pockets_Hendrik_Right,Stairs_pockets_Hendrik,Right,0.692320077282241,1,0.692320077282241,0.818190467129674,1,4300,0,0,1911
Stairs_pockets_Hendrik_Left,Stairs_pockets_Hendrik,Left,0.700370310739011,1,0.700370310739011,0.82378562636114,1,4350,0,0,1861
Stairs_pockets_Tanya_Right,Stairs_pockets_Tanya,Right,0.970110120608285,1,0.970110120608285,0.984828320468459,1,5550,0,0,171
Stairs_pockets_Tanya_Left,Stairs_pockets_Tanya,Left,0.978849851424576,1,0.978849851424576,0.989311898242205,1,5600,0,0,121
Stairs_railL_Hendrik_Right,Stairs_railL_Hendrik,Right,0.872448089338684,1,0.872448089338684,0.931879601155531,1,5000,0,0,731
Stairs_railL_Hendrik_Left,Stairs_railL_Hendrik,Left,0.924794974699005,1,0.924794974699005,0.960928292992476,1,5300,0,0,431
Stairs_railL_Tanya_Right,Stairs_railL_Tanya,Right,0.740879093512638,1,0.740879093512638,0.851155139117374,1,5950,0,0,2081
Stairs_railL_Tanya_Left,Stairs_railL_Tanya,Left,0.684846220894036,1,0.684846220894036,0.812948045229473,1,5500,0,0,2531
Stairs_railR_Hendrik_Right,Stairs_railR_Hendrik,Right,0.732199966335634,1,0.732199966335634,0.845398892235934,1,4350,0,0,1591
Stairs_railR_Hendrik_Left,Stairs_railR_Hendrik,Left,0.892105706110082,1,0.892105706110082,0.942976603505026,1,5300,0,0,641
Stairs_railR_Tanya_Right,Stairs_railR_Tanya,Right,0.834334534775063,1,0.834334534775063,0.909686340149916,1,6250,0,0,1241
