ID,Subject,Wrist,Accuracy,Precision,Recall,F1,Steps,TP,TN,FP,FN
NLS035_FreeWalk_right,NLS035_FreeWalk,right,0.184970414201183,1,0,0,1,0,3126,0,13774
NLS035_FreeWalk_left,NLS035_FreeWalk,left,0.184970414201183,1,0,0,1,0,3126,0,13774
NLS101_FreeWalk_right,NLS101_FreeWalk,right,0.364814814814815,1,0,0,1,0,7880,0,13720
NLS101_FreeWalk_left,NLS101_FreeWalk,left,0.364814814814815,1,0,0,1,0,7880,0,13720
NLS187_FreeWalk_right,NLS187_FreeWalk,right,0.224434389140272,1,0,0,1,0,4960,0,17140
NLS187_FreeWalk_left,NLS187_FreeWalk,left,0.224434389140272,1,0,0,1,0,4960,0,17140
NLS188_FreeWalk_right,NLS188_FreeWalk,right,0.216031746031746,1,0,0,1,0,4083,0,14817
NLS188_FreeWalk_left,NLS188_FreeWalk,left,0.216031746031746,1,0,0,1,0,4083,0,14817
NLS189_FreeWalk_right,NLS189_FreeWalk,right,0.276238095238095,1,0,0,1,0,5801,0,15199
NLS189_FreeWalk_left,NLS189_FreeWalk,left,0.276238095238095,1,0,0,1,0,5801,0,15199
NLS190_FreeWalk_right,NLS190_FreeWalk,right,0.243428571428571,1,0,0,1,0,4260,0,13240
NLS190_FreeWalk_left,NLS190_FreeWalk,left,0.243428571428571,1,0,0,1,0,4260,0,13240
NLS191_FreeWalk_right,NLS191_FreeWalk,right,0.197073170731707,1,0,0,1,0,4040,0,16460
NLS191_FreeWalk_left,NLS191_FreeWalk,left,0.197073170731707,1,0,0,1,0,4040,0,16460
NLS192_FreeWalk_right,NLS192_FreeWalk,right,0.252065217391304,1,0,0,1,0,4638,0,13762
NLS192_FreeWalk_left,NLS192_FreeWalk,left,0.252065217391304,1,0,0,1,0,4638,0,13762
NLS194_FreeWalk_right,NLS194_FreeWalk,right,0.228924731182796,1,0,0,1,0,4258,0,14342
NLS194_FreeWalk_left,NLS194_FreeWalk,left,0.228924731182796,1,0,0,1,0,4258,0,14342
NLS195_FreeWalk_right,NLS195_FreeWalk,right,0.268700564971751,1,0,0,1,0,4756,0,12944
NLS195_FreeWalk_left,NLS195_FreeWalk,left,0.268700564971751,1,0,0,1,0,4756,0,12944
NLS196_FreeWalk_right,NLS196_FreeWalk,right,0.207851239669421,1,0,0,1,0,5030,0,19170
NLS196_FreeWalk_left,NLS196_FreeWalk,left,0.207851239669421,1,0,0,1,0,5030,0,19170
NLS197_FreeWalk_right,NLS197_FreeWalk,right,0.30952380952381,1,0,0,1,0,5200,0,11600
NLS197_FreeWalk_left,NLS197_FreeWalk,left,0.30952380952381,1,0,0,1,0,5200,0,11600
NLS198_FreeWalk_right,NLS198_FreeWalk,right,0.310883534136546,1,0,0,1,0,7741,0,17159
NLS198_FreeWalk_left,NLS198_FreeWalk,left,0.310883534136546,1,0,0,1,0,7741,0,17159
NLS209_FreeWalk_right,NLS209_FreeWalk,right,0.223208333333333,1,0,0,1,0,5357,0,18643
NLS209_FreeWalk_left,NLS209_FreeWalk,left,0.223208333333333,1,0,0,1,0,5357,0,18643
NLS210_FreeWalk_right,NLS210_FreeWalk,right,0.20625,1,0,0,1,0,4290,0,16510
NLS210_FreeWalk_left,NLS210_FreeWalk,left,0.20625,1,0,0,1,0,4290,0,16510
